Date,BLK,^GSPC
2017-01-17 00:00:00+00:00,307.3715515136719,2267.889892578125
2017-01-18 00:00:00+00:00,309.9960021972656,2271.889892578125
2017-01-19 00:00:00+00:00,309.46295166015625,2263.68994140625
2017-01-20 00:00:00+00:00,312.7843322753906,2271.31005859375
2017-01-23 00:00:00+00:00,310.0451965332031,2265.199951171875
2017-01-24 00:00:00+00:00,312.76788330078125,2280.070068359375
2017-01-25 00:00:00+00:00,318.4674987792969,2298.3701171875
2017-01-26 00:00:00+00:00,311.1604309082031,2296.679931640625
2017-01-27 00:00:00+00:00,307.58477783203125,2294.68994140625
2017-01-30 00:00:00+00:00,307.68328857421875,2280.89990234375
2017-01-31 00:00:00+00:00,306.69921875,2278.8701171875
2017-02-01 00:00:00+00:00,305.8954772949219,2279.550048828125
2017-02-02 00:00:00+00:00,304.7801818847656,2280.85009765625
2017-02-03 00:00:00+00:00,309.9960021972656,2297.419921875
2017-02-06 00:00:00+00:00,309.52032470703125,2292.56005859375
2017-02-07 00:00:00+00:00,309.0856628417969,2293.080078125
2017-02-08 00:00:00+00:00,307.1747741699219,2294.669921875
2017-02-09 00:00:00+00:00,310.46337890625,2307.8701171875
2017-02-10 00:00:00+00:00,314.0062255859375,2316.10009765625
2017-02-13 00:00:00+00:00,316.4173278808594,2328.25
2017-02-14 00:00:00+00:00,315.72027587890625,2337.580078125
2017-02-15 00:00:00+00:00,322.3302001953125,2349.25
2017-02-16 00:00:00+00:00,321.45257568359375,2347.219970703125
2017-02-17 00:00:00+00:00,318.8201599121094,2351.159912109375
2017-02-21 00:00:00+00:00,319.9191589355469,2365.3798828125
2017-02-22 00:00:00+00:00,320.4193420410156,2362.820068359375
2017-02-23 00:00:00+00:00,320.33734130859375,2363.81005859375
2017-02-24 00:00:00+00:00,319.14825439453125,2367.340087890625
2017-02-27 00:00:00+00:00,320.6571350097656,2369.75
2017-02-28 00:00:00+00:00,317.7539978027344,2363.639892578125
2017-03-01 00:00:00+00:00,326.2420349121094,2395.9599609375
